component,mean,ci.low,ci.hi,p.value
Surface convection,-84.89120846878697,-87.1608558280979,-82.62156110947606,0
HVAC rejection,166.0711525620773,160.57523407243607,171.5670710517185,0
Exfiltration,-48.711421849431034,-50.289966222693394,-47.13287747616867,0
Exhaust air,-24.287155225988094,-25.152951309917043,-23.42135914205915,0
HVAC Relief air,-34.31835102144965,-36.85563806078032,-31.781063982118972,8.60417541679636e-150
Total,-26.136984003578455,-28.354035685737525,-23.91993232141938,3.560616536753485e-115
non-surface Total,58.75422446520851,56.05688552177254,61.451563408644475,0
